Type,Environment,Width,Depth,Amplitude,Wavelength,Sandbody thickness,Belt Width,Source
UNKNOWN,FLUVIAL UNDEFINED,4701.938272,5.899178294,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,6495.899218,34.99238198,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,14933.49703,39.13142219,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,19218.62413,0.186418228,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,31.11886055,0.952502377,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,28.76752967,1.084836501,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,19.45765507,1.503164808,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,26.54531838,1.708878974,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,27.98298583,1.468507153,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,31.84746493,1.565962366,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,37.18475157,1.781572225,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,39.19386545,1.564437123,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,46.99952006,1.563103755,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,78.96806501,1.559300389,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,73.1614993,1.203398466,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,60.84018826,1.980377182,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,40.15064133,2.163485595,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,44.50346179,2.515775261,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,59.15934124,2.860417655,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,70.98443988,2.565130973,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,70.87212381,3.39764892,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,84.94526376,3.70141579,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,96.69984692,3.780012954,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,85.03843867,3.046902771,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,85.1732051,2.30032733,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,96.9593304,2.34917329,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,113.360443,2.106920021,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,122.4469127,2.39788784,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,116.3968003,1.932126113,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,97.04203926,2.019229192,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,171.6075493,2.292774345,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,171.3777666,2.908375185,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,15.78169902,2.081031255,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,19.92050688,2.316072196,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,24.5186478,2.264326063,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,27.897901,2.521297304,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,28.58589012,3.339182186,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,33.39690652,3.409672201,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,34.30397533,2.930422834,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,38.05538027,2.928995375,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,43.32141998,2.991190693,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,51.81638239,4.706110371,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,50.44624893,5.475760535,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,57.43391181,5.472426567,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,67.09188858,5.710082412,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,60.52972615,4.910486734,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,51.89849948,3.552983184,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,50.60626711,3.121091742,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,76.43179167,5.121866717,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,87.01889387,5.118748221,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,99.07248967,5.115631623,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,112.7957134,5.112516923,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,112.8644319,4.588652397,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,146.38637,4.113453117,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,153.9390267,5.44715466,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,166.1970986,6.759431957,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,153.5270536,8.76491967,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,89.0888685,7.886953161,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,101.429191,7.882151116,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,109.7329309,6.772618552,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,98.97599336,6.081610767,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,24.98901078,7.764464144,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,29.96569743,7.757846497,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,1660.301671,25.54918425,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,1658.482511,31.03747022,,,,,"Fielding and Crane, 1987"
ANASTOMOSING,FLUVIAL UNDEFINED,31.82807431,1.744740809,,,,,"Fielding and Crane, 1987"
ANASTOMOSING,FLUVIAL UNDEFINED,52.06312427,2.025140874,,,,,"Fielding and Crane, 1987"
ANASTOMOSING,FLUVIAL UNDEFINED,31.60785387,5.983514441,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,31.01100876,1.007027511,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,24.64653081,1.106388494,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,10.75682743,1.214254093,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,9.022053079,1.318461953,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,31.01100876,1.50540015,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,17.46287132,1.50540015,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,13.48607423,1.711507272,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,8.043134476,1.711507272,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,13.48607423,2.212240484,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,37.91455627,2.308914938,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,8.277426667,2.409814046,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,150.4411184,3.010070311,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,17.21395438,3.010070311,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,56.67429749,4.026156994,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,206.1063289,4.61671025,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,68.19435798,4.795614461,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,97.7949375,4.757026131,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,72.91974474,5.152404922,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,100.6436515,5.271290757,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,173.6667246,5.525227053,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,200.477978,6.444990504,,,,,"Leeder, 1973"
MEANDERING,FLUVIAL UNDEFINED,128.4640139,6.556204943,,,,,"Leeder, 1973"
